Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Other
1676843888.211125,543.9453125,-87.40234375,-69.3359375,365.234375,957.03125
1676843888.2150311,-381.8359375,-51.7578125,-36.1328125,-215.8203125,63.96484375
1676843888.2189374,-678.7109375,-44.921875,-18.5546875,-459.47265625,-966.796875
1676843888.2228436,-291.50390625,-53.22265625,-31.25,-245.60546875,-899.4140625
1676843888.22675,489.2578125,-66.40625,-56.15234375,282.2265625,435.546875
1676843888.2306561,622.0703125,-69.82421875,-63.96484375,419.43359375,-916.9921875
1676843888.2345624,-278.3203125,-44.921875,-36.62109375,-159.1796875,139.6484375
1676843888.2384686,-666.9921875,-19.04296875,-10.7421875,-456.0546875,-805.17578125
1676843888.242375,-326.171875,-13.18359375,-30.76171875,-261.23046875,-653.3203125
1676843888.2462811,413.57421875,-60.05859375,-88.8671875,203.61328125,104.00390625
1676843888.2501874,690.91796875,-83.984375,-90.8203125,425.78125,868.1640625
1676843888.2540936,-139.16015625,-50.78125,-39.55078125,-78.125,326.171875
1676843888.256125,-658.203125,-25.390625,-11.71875,-458.49609375,-751.953125
1676843888.2600312,-407.71484375,-15.625,-12.20703125,-333.0078125,-975.5859375
1676843888.2639375,312.98828125,-51.7578125,-49.31640625,126.953125,-156.25
1676843888.2678437,728.02734375,-83.0078125,-83.0078125,460.9375,897.4609375
1676843888.27175,-37.109375,-40.52734375,-46.875,15.13671875,505.37109375
1676843888.2756562,-651.85546875,-7.32421875,-10.25390625,-429.19921875,-601.07421875
1676843888.2795625,-465.8203125,-30.76171875,-28.80859375,-349.609375,-928.7109375
1676843888.2834687,214.84375,-76.171875,-61.5234375,93.26171875,-13.671875
1676843888.287375,739.74609375,-88.37890625,-75.1953125,485.83984375,991.69921875
1676843888.2912812,67.87109375,-44.921875,-46.875,88.37890625,496.58203125
1676843888.2951875,-633.30078125,-15.625,-15.625,-401.3671875,-660.64453125
1676843888.2990937,-528.80859375,-34.66796875,-27.34375,-366.2109375,-1000.0
1676843888.300125,101.5625,-66.40625,-68.359375,45.8984375,-408.69140625
1676843888.3040311,727.05078125,-93.26171875,-85.44921875,464.84375,768.06640625
1676843888.3079374,177.24609375,-59.5703125,-60.546875,147.94921875,729.98046875
1676843888.3118436,-602.5390625,-30.76171875,-26.3671875,-377.44140625,-325.68359375
1676843888.31575,-564.453125,-38.57421875,-20.5078125,-404.78515625,-961.9140625
1676843888.3196561,9.765625,-53.22265625,-44.43359375,-49.8046875,-513.18359375
1676843888.3235624,705.078125,-90.33203125,-72.75390625,435.546875,723.6328125
1676843888.3274686,297.8515625,-60.05859375,-57.12890625,243.1640625,949.70703125
1676843888.331375,-558.59375,-15.13671875,-22.94921875,-332.51953125,-279.296875
1676843888.3352811,-611.81640625,-14.6484375,-32.71484375,-430.6640625,-1000.0
1676843888.3391874,-78.61328125,-30.2734375,-62.5,-109.86328125,-604.00390625
1676843888.3430936,665.0390625,-70.3125,-81.0546875,396.484375,633.7890625
1676843888.346125,382.8125,-62.98828125,-65.91796875,276.3671875,908.203125
1676843888.3500311,-517.08984375,-22.4609375,-30.76171875,-312.01171875,-218.26171875
1676843888.3539374,-617.67578125,-35.15625,-14.6484375,-430.17578125,-875.9765625
1676843888.3578436,-103.02734375,-64.94140625,-31.25,-123.53515625,-594.23828125
1676843888.36175,631.34765625,-93.75,-57.12890625,375.0,416.015625
1676843888.3656561,488.76953125,-88.37890625,-49.8046875,345.21484375,926.7578125
1676843888.3695624,-421.38671875,-34.66796875,-34.66796875,-241.69921875,170.41015625
1676843888.3734686,-651.3671875,-21.484375,-44.43359375,-442.87109375,-637.6953125
1676843888.377375,-240.234375,-43.9453125,-54.6875,-210.44921875,-767.08984375
1676843888.3812811,545.8984375,-79.1015625,-63.4765625,316.89453125,249.0234375
1676843888.3851874,590.8203125,-68.359375,-50.78125,418.45703125,969.23828125
1676843888.3890936,-337.890625,-7.32421875,-16.11328125,-173.33984375,126.46484375
1676843888.391125,-671.875,-0.48828125,-9.765625,-444.3359375,-896.97265625
1676843888.3950312,-303.7109375,-33.69140625,-22.94921875,-241.69921875,-756.34765625
1676843888.3989375,464.84375,-69.3359375,-60.546875,269.53125,500.9765625
1676843888.4028437,656.73828125,-90.33203125,-80.56640625,451.171875,-930.17578125
1676843888.40675,-227.05078125,-67.3828125,-41.9921875,-109.375,179.19921875
1676843888.4106562,-672.36328125,-29.78515625,-9.765625,-443.84765625,-721.19140625
1676843888.4145625,-376.46484375,-20.01953125,-16.6015625,-279.296875,-530.76171875
1676843888.4184687,353.515625,-51.7578125,-57.6171875,184.5703125,149.4140625
1676843888.422375,693.84765625,-68.359375,-85.9375,451.171875,856.93359375
1676843888.4262812,-106.4453125,-51.26953125,-45.41015625,-28.3203125,386.23046875
1676843888.4301875,-669.921875,-32.71484375,-12.20703125,-437.98828125,-688.4765625
1676843888.4340937,-415.52734375,-28.80859375,-30.2734375,-315.91796875,-1000.0
1676843888.437125,299.31640625,-48.828125,-61.03515625,143.5546875,-211.9140625
1676843888.4410312,717.28515625,-70.3125,-73.73046875,463.8671875,870.1171875
1676843888.4449375,-2.9296875,-53.22265625,-37.59765625,28.80859375,460.44921875
1676843888.4488437,-654.296875,-31.25,-5.859375,-433.10546875,-745.1171875
1676843888.45275,-486.328125,-30.2734375,-18.5546875,-359.375,-1000.0
1676843888.4566562,197.75390625,-58.10546875,-50.29296875,82.51953125,-160.64453125
1676843888.4605625,726.5625,-89.84375,-88.8671875,460.9375,903.3203125
1676843888.4644687,94.23828125,-64.94140625,-77.1484375,92.28515625,648.92578125
1676843888.468375,-639.16015625,-32.71484375,-24.90234375,-409.66796875,-509.27734375
1676843888.4722812,-544.921875,-30.2734375,-2.9296875,-387.6953125,-780.2734375
1676843888.4761875,74.21875,-60.546875,-34.1796875,6.8359375,-136.71875
1676843888.4800937,711.42578125,-95.703125,-73.73046875,449.70703125,721.19140625
1676843888.496125,212.890625,-67.87109375,-61.5234375,180.6640625,758.7890625
1676843888.5000312,-598.14453125,-20.99609375,-26.85546875,-368.1640625,-244.62890625
1676843888.5039375,-584.47265625,-32.2265625,-28.80859375,-410.15625,-970.21484375
1676843888.5078437,-18.5546875,-65.91796875,-57.6171875,-69.82421875,-612.3046875
1676843888.51175,696.2890625,-81.0546875,-86.42578125,419.921875,611.328125
1676843888.5156562,344.23828125,-59.5703125,-56.640625,265.625,881.34765625
1676843888.5195625,-546.875,-24.90234375,-4.8828125,-328.125,-294.43359375
1676843888.5234687,-606.93359375,-22.94921875,2.9296875,-431.640625,-1000.0
1676843888.527375,-38.0859375,-42.96875,-22.94921875,-81.0546875,-578.61328125
1676843888.5312812,650.87890625,-74.70703125,-64.453125,396.484375,650.390625
1676843888.5351875,395.5078125,-74.21875,-68.359375,288.0859375,917.48046875
1676843888.5390937,-490.234375,-41.50390625,-33.203125,-290.52734375,-224.609375
1676843888.540125,-645.99609375,-38.57421875,-14.16015625,-444.3359375,-919.43359375
1676843888.5440311,-180.6640625,-58.59375,-30.76171875,-157.71484375,-465.8203125
1676843888.5479374,594.23828125,-90.8203125,-82.51953125,347.16796875,425.78125
1676843888.5518436,537.59765625,-78.125,-83.49609375,357.421875,922.36328125
1676843888.55575,-398.4375,-28.80859375,-21.97265625,-240.234375,110.3515625
1676843888.5596561,-668.9453125,-16.6015625,-4.39453125,-463.37890625,-789.0625
1676843888.5635624,-263.18359375,-39.0625,-29.78515625,-229.4921875,-752.44140625
1676843888.5674686,513.671875,-73.2421875,-69.82421875,281.73828125,196.2890625
1676843888.571375,627.44140625,-64.94140625,-88.8671875,423.828125,988.76953125
1676843888.5752811,-286.1328125,-37.59765625,-48.828125,-148.92578125,271.97265625
1676843888.5791874,-679.6875,-41.015625,-25.390625,-468.26171875,-881.8359375
1676843888.5830936,-336.9140625,-37.109375,-35.64453125,-275.87890625,-981.93359375
1676843888.586125,425.29296875,-72.75390625,-66.40625,229.98046875,135.25390625
1676843888.5900311,676.7578125,-88.37890625,-90.8203125,447.265625,-999.51171875
1676843888.5939374,-181.15234375,-33.69140625,-51.7578125,-81.54296875,231.4453125
1676843888.5978436,-669.921875,-8.30078125,-5.859375,-441.40625,-832.51953125
1676843888.60175,-399.90234375,-32.71484375,-2.44140625,-291.50390625,-796.875
1676843888.6056561,327.1484375,-74.70703125,-56.640625,167.96875,14.16015625
1676843888.6095624,720.21484375,-74.70703125,-89.84375,461.9140625,860.83984375
1676843888.6134686,-61.03515625,-27.34375,-46.38671875,-5.859375,457.51953125
